id,area_sqft,bedrooms,bathrooms,age_years,distance_km,quality,garage_spaces,has_pool,lot_sqft,price
1,2291,5,3,4,35.7,8,1,0,11952,313600
2,2073,4,3,48,2.8,5,0,0,3328,420300
3,1524,3,2,70,2.4,8,2,0,2885,377400
4,1529,3,2,74,22.3,3,2,0,6700,166700
5,2886,5,3,70,5.5,6,2,0,10468,598300
6,1592,3,2,33,3.3,5,2,0,3452,350500
7,1470,3,2,16,38.4,2,0,0,10817,151000
8,2589,4,2,50,6.1,7,1,0,5370,496300
9,1250,2,2,14,16.8,5,2,0,5046,201100
10,2577,4,3,69,10.3,6,2,0,6787,422600
11,2023,3,1,62,26.4,5,1,0,7616,197300
12,450,2,1,55,8.6,4,2,0,2871,99000
13,2611,5,4,6,7.0,6,0,1,8633,533100
14,1927,2,1,40,5.9,6,1,0,6772,360000
15,2373,5,3,7,3.2,6,2,0,5547,592800
16,2533,4,3,21,3.6,4,0,0,6433,508800
17,1503,1,1,11,22.1,7,1,0,8598,225800
18,2086,4,2,34,12.4,7,0,0,5053,346300
19,1339,1,1,19,33.0,8,1,0,8393,175600
20,1219,2,2,44,8.7,4,2,0,4726,210500
21,2203,4,2,74,6.8,6,3,0,6178,402700
22,1907,3,1,29,3.8,8,1,0,3933,437100
23,1642,2,2,17,1.7,7,1,0,4127,434700
24,2513,4,2,49,33.9,7,2,0,13842,291100
25,1728,3,2,50,0.5,5,2,1,4088,458500
26,2370,4,3,0,4.4,6,3,0,5030,576000
27,1299,2,2,66,1.3,6,0,0,4946,290500
28,2226,4,3,71,11.6,4,1,0,5029,316200
29,1278,1,1,5,6.7,4,2,0,2889,263700
30,2086,4,3,19,37.5,6,1,1,10615,261800
31,1920,4,3,55,8.8,6,1,0,4809,369100
32,2019,3,2,61,3.8,5,1,0,5479,367700
33,2150,3,2,73,1.8,3,1,0,5149,405100
34,3193,5,3,76,17.7,3,2,0,11706,363500
35,1961,3,1,81,11.0,7,1,0,5643,307600
36,1415,3,2,16,6.9,10,1,0,3268,330700
37,1678,3,2,82,20.4,4,3,0,8254,181500
38,1136,2,1,71,7.5,7,0,0,5048,184700
39,2377,4,4,9,13.7,6,1,0,6586,357400
40,1238,1,1,65,8.0,6,1,0,4727,226900
41,2071,5,4,33,10.0,6,2,0,6814,348700
42,1406,1,1,43,6.8,6,2,0,3193,222100
43,450,2,1,59,2.7,5,1,0,1476,115800
44,1464,2,1,17,34.5,5,2,0,9652,168400
45,1403,2,1,28,11.1,7,2,0,5181,243200
46,2190,3,2,78,5.5,6,2,0,7192,428200
47,1751,3,2,59,30.9,8,1,0,10030,214200
48,2036,4,3,40,2.4,6,2,1,4147,511800
49,1649,2,1,48,17.7,4,2,0,9317,206300
50,1252,1,2,79,23.2,7,0,1,8485,183600
51,771,1,1,79,3.4,7,2,0,2207,179400
52,1217,2,2,39,19.7,6,2,0,6980,175900
53,1660,3,3,9,5.1,5,1,0,5270,395400
